Datas,Gyeong-gi
01/20/2020,0
01/21/2020,0
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,1
01/27/2020,1
01/28/2020,0
01/29/2020,0
01/30/2020,0
01/31/2020,0
02/01/2020,1
02/02/2020,2
02/03/2020,0
02/04/2020,0
02/05/2020,2
02/06/2020,0
02/07/2020,0
02/08/2020,0
02/09/2020,3
02/10/2020,1
02/11/2020,0
02/12/2020,0
02/13/2020,0
02/14/2020,0
02/15/2020,0
02/16/2020,0
02/17/2020,0
02/18/2020,1
02/19/2020,0
02/20/2020,0
02/21/2020,1
02/22/2020,2
02/23/2020,8
02/24/2020,12
02/25/2020,5
02/26/2020,3
02/27/2020,12
02/28/2020,11
02/29/2020,10
03/01/2020,8
03/02/2020,8
03/03/2020,2
03/04/2020,9
03/05/2020,7
03/06/2020,10
03/07/2020,10
03/08/2020,11
03/09/2020,12
03/10/2020,10
03/11/2020,11
03/12/2020,3
03/13/2020,8
03/14/2020,15
03/15/2020,11
03/16/2020,20
03/17/2020,31
03/18/2020,15
03/19/2020,18
03/20/2020,14
03/21/2020,12
03/22/2020,16
03/23/2020,14
03/24/2020,15
03/25/2020,21
03/26/2020,14
03/27/2020,11
03/28/2020,21
03/29/2020,15
03/30/2020,15
03/31/2020,13
04/01/2020,22
04/02/2020,18
04/03/2020,23
04/04/2020,23
04/05/2020,10
04/06/2020,8
04/07/2020,10
04/08/2020,6
04/09/2020,10
04/10/2020,9
04/11/2020,9
04/12/2020,4
04/13/2020,3
04/14/2020,8
04/15/2020,6
04/16/2020,4
04/17/2020,1
04/18/2020,4
04/19/2020,0
04/20/2020,2
04/21/2020,2
04/22/2020,0
04/23/2020,1
04/24/2020,1
04/25/2020,2
04/26/2020,6
04/27/2020,3
04/28/2020,3
04/29/2020,2
04/30/2020,0
05/01/2020,2
05/02/2020,0
05/03/2020,2
05/04/2020,1
05/05/2020,0
05/06/2020,0
05/07/2020,1
05/08/2020,2
05/09/2020,4
05/10/2020,6
05/11/2020,3
05/12/2020,8
05/13/2020,3
05/14/2020,6
05/15/2020,3
05/16/2020,4
05/17/2020,0
05/18/2020,3
05/19/2020,1
05/20/2020,10
05/21/2020,0
05/22/2020,6
05/23/2020,13
05/24/2020,6
05/25/2020,6
05/26/2020,2
05/27/2020,6
05/28/2020,21
05/29/2020,20
05/30/2020,13
05/31/2020,12
06/01/2020,12
06/02/2020,14
06/03/2020,13
06/04/2020,15
06/05/2020,13
06/06/2020,8
06/07/2020,19
06/08/2020,8
06/09/2020,13
06/10/2020,21
06/11/2020,16
06/12/2020,19
06/13/2020,14
06/14/2020,10
06/15/2020,10
06/16/2020,5
06/17/2020,13
06/18/2020,16
06/19/2020,11
06/20/2020,17
06/21/2020,10
06/22/2020,6
06/23/2020,7
06/24/2020,7
06/25/2020,9
06/26/2020,4
06/27/2020,17
06/28/2020,17
06/29/2020,16
06/30/2020,7
07/01/2020,16
07/02/2020,10
07/03/2020,18
07/04/2020,19
07/05/2020,8
07/06/2020,6
07/07/2020,13
07/08/2020,18
07/09/2020,8
07/10/2020,14
07/11/2020,4
07/12/2020,17
07/13/2020,11
07/14/2020,9
07/15/2020,5
07/16/2020,21
07/17/2020,15
07/18/2020,10
07/19/2020,4
07/20/2020,1
07/21/2020,2
07/22/2020,15
07/23/2020,28
07/24/2020,8
07/25/2020,14
07/26/2020,7
07/27/2020,6
07/28/2020,6
07/29/2020,11
07/30/2020,5
07/31/2020,10
08/01/2020,7
08/02/2020,3
08/03/2020,1
08/04/2020,11
08/05/2020,7
08/06/2020,13
08/07/2020,5
08/08/2020,18
08/09/2020,15
08/10/2020,6
08/11/2020,13
08/12/2020,19
